Well_ID	MD	TVDSS	ZONE	VSH	SW	RT	PHIT	NTG	K
W03	3385.5745	3299.1745	12	0.6706	1	5.8802	0.0995	0	0.1576
W03	3386.5745	3300.1745	12	0.6706	1	5.8802	0.0995	0	0.1576
W03	3387.5745	3301.1745	12	0.6706	1		0.0995	0	0.1576
W03	3388.5745	3302.1745	12	0.6814	1	5.7831	0.1027	0	0.1744
W03	3389.5745	3303.1745	12	0.6814	1	5.7831	0.1027	0	
W03	3390.5745	3304.1745	12	0.6814	1	5.7831	0.1027	0	0.1744
W03	3391.5745	3305.1745	12	0.6814		5.7831	0.1027	0	0.1744
W03	3392.5745	3306.1745	12	0.6814	1	5.7831	0.1027	0	0.1744
W03	3393.5745	3307.1745	12	0.6556	1	6.0172	0.0858	0	0.0976
W03	3394.5745	3308.1745	12	0.6556	1	6.0172	0.0858	0	0.0976
W03	3395.5745	3309.1745	12	0.6556	1	6.0172	0.0858	0	0.0976
W03	3396.5745	3310.1745	12	0.6556		6.0172	0.0858	0	0.0976
W03	3397.5745	3311.1745	12	0.6556	1	6.0172	0.0858	0	0.0976
W03	3398.5745	3312.1745	12	0.594	1	6.6151	0.1011	0	0.166
W03	3399.5745	3313.1745	12	0.594	1	6.6151	0.1011	0	0.166
W03	3400.5745	3314.1745	12	0.594	1	6.6151	0.1011	0	0.166
W03	3401.5745	3315.1745	12	0.594		6.6151	0.1011	0	0.166
W03	3402.5745	3316.1745	12	0.594	1	6.6151	0.1011	0	0.166
W03	3403.5745	3317.1745	12	0.6333	1	6.2269		0	0.2009
W03	3404.5745	3318.1745	12	0.6333	1	6.2269	0.1073	0	0.2009
W03	3405.5745	3319.1745	12	0.6333	1	6.2269	0.1073	0	0.2009
W03	3406.5745	3320.1745	12	0.6333	1	6.2269	0.1073	0	
W03	3407.5745	3321.1745	12	0.6333	1	6.2269	0.1073	0	0.2009
W03	3408.5745	3322.1745	12	0.6015		6.5398	0.0997	0	0.1584
W03	3409.5745	3323.1745	12	0.6015	1	6.5398	0.0997	0	0.1584
W03	3410.5745	3324.1745	12	0.6015	1	6.5398	0.0997	0	0.1584
W03	3411.5745	3325.1745	12	0.6015	1	6.5398	0.0997	0	0.1584
W03	3412.5745	3326.1745		0.6015	1	6.5398	0.0997	0	0.1584
W03	3413.5745	3327.1745	12	0.6636		5.9441	0.0954	0	0.1375
W03	3414.5745	3328.1745	12	0.6636		5.9441		0	0.1375
W03	3415.5745	3329.1745	12	0.6636	1	5.9441		0	0.1375
W03	3416.5745	3330.1745	12	0.6636	1	5.9441	0.0954	0	0.1375
W03	3417.5745	3331.1745		0.6636	1	5.9441	0.0954	0	0.1375
W03	3418.5745	3332.1745	12	0.6966	1	5.65	0.0909	0	0.1174
W03	3419.5745	3333.1745	12	0.6966	1	5.65	0.0909	0	0.1174
W03	3420.5745	3334.1745	12	0.6966	1	5.65	0.0909	0	0.1174
W03	3421.5745	3335.1745	12	0.6966	1	5.65	0.0909	0	0.1174
W03	3422.5745	3336.1745	12	0.6966	1	5.65	0.0909	0	0.1174
W03	3423.5745	3337.1745	12	0.6683	1	5.9009	0.0944	0	0.1329
W03	3424.5745	3338.1745	12	0.6683	1	5.9009		0	0.1329
W03	3425.5745	3339.1745	12	0.6683	1	5.9009	0.0944	0	
W03	3426.5745	3340.1745	12	0.6683	1	5.9009	0.0944	0	0.1329
W03	3427.5745	3341.1745	12	0.6683	1	5.9009	0.0944	0	0.1329
W03	3428.5745	3342.1745		0.6188	1	6.3673	0.0991	0	0.1554
W03	3429.5745	3343.1745		0.6188	1	6.3673	0.0991	0	0.1554
W03	3430.5745	3344.1745	13	0.6188	1	6.3673	0.0991	0	0.1554
W03	3431.5745	3345.1745	13	0.6188	1		0.0991	0	0.1554
W03	3432.5745	3346.1745	13	0.6188	1	6.3673		0	0.1554
W03	3433.5745	3347.1745		0.643	1	6.1352	0.1029	0	0.1757
W03	3434.5745	3348.1745	13	0.643	1	6.1352	0.1029	0	0.1757
W03	3435.5745	3349.1745	13	0.643	1	6.1352	0.1029	0	0.1757
W03	3436.5745	3350.1745		0.643	1	6.1352	0.1029	0	0.1757
W03	3437.5745	3351.1745		0.643	1	6.1352	0.1029	0	0.1757
W03	3438.5745	3352.1745	13	0.6306	1	6.2535	0.0902	0	0.1148
W03	3439.5745	3353.1745	13	0.6306	1	6.2535	0.0902	0	0.1148
W03	3440.5745	3354.1745	13	0.6306	1	6.2535	0.0902	0	0.1148
